Lep Name,Lep Url
Cosmosoma myrodora,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Scarlet-Bodied_Wasp_Moth_%28Cosmosoma_myrodora%29_%286912598086%29.jpg/180px-Scarlet-Bodied_Wasp_Moth_%28Cosmosoma_myrodora%29_%286912598086%29.jpg
Creatonotos punctivitta,None
Creatonotos transiens,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Creatonotos_transiens_vacillans.jpg/269px-Creatonotos_transiens_vacillans.jpg
Ctenucha virginica,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Ctenucha_virginica%2C_Ottawa.jpg/150px-Ctenucha_virginica%2C_Ottawa.jpg
Cyana pretoriae,None
Diaphora mendica,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Diaphora_mendica02.jpg/162px-Diaphora_mendica02.jpg
Digama aganais,None
Digama marchali,None
Dinia eagrus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Scarlet-tipped_wasp_mimic_%28Dinia_eagrus%29_%287420631592%29.jpg/173px-Scarlet-tipped_wasp_mimic_%28Dinia_eagrus%29_%287420631592%29.jpg
Disparctia vittata,None
Dysschema picta,None
Eilema bipuncta,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Zobida_bipuncta1.jpg/270px-Zobida_bipuncta1.jpg
Zeuzera sp.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Zeuzera_sp._%287211486010%29.jpg/174px-Zeuzera_sp._%287211486010%29.jpg
Acraga flava,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Bulletin_of_the_Museum_of_Comparative_Zoology_at_Harvard_College_%281992-1994%29_%2820484657122%29.jpg/151px-Bulletin_of_the_Museum_of_Comparative_Zoology_at_Harvard_College_%281992-1994%29_%2820484657122%29.jpg
Acraga ochracea,None
Albara reversaria,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Albara_reversaria_%28Drepanidae%29.jpg/270px-Albara_reversaria_%28Drepanidae%29.jpg
Cymatophorina diluta,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Cymatophorina.diluta.jpg/132px-Cymatophorina.diluta.jpg
Drapetodes fratercula,None
Epicampoptera,None
Epicampoptera andersoni,None
Epicampoptera ivoirensis,None
Epicampoptera marantica,None
Euthyatira pudens,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Euthyatira_pudens_-_Dogwood_Thyatirid_Moth_%2815875335787%29.jpg/201px-Euthyatira_pudens_-_Dogwood_Thyatirid_Moth_%2815875335787%29.jpg
Falcaria lacertinaria,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Falcaria.lacertinaria.7110.jpg/270px-Falcaria.lacertinaria.7110.jpg
Gogana abnormalis,None
Gogana kerara,None
Kurama mirabilis,None
